NUTS3;CODE
'NO071';'8168'
'NO093';'3204'
'NO093';'3087'
'NO0A2';'5979'
'NO071';'8405'
'NO072';'9290'
'NO072';'9482'
'NO092';'4554'
'NO0A2';'6902'
'NO0A2';'5907'
'NO0A3';'6283'
'NO0A1';'4349'
'NO085';'3361'
'NO084';'2071'
'NO0A2';'5748'
'NO060';'7488'
'NO0A1';'5544'
'NO060';'7384'
'NO071';'8469'
'NO060';'7437'
'NO073';'9509'
'NO020';'2858'
'NO092';'4575'
'NO0A2';'5859'
'NO0A2';'5449'
'NO020';'2561'
'NO092';'4551'
'NO0A1';'5505'
'NO060';'7704'
'NO083';'1733'
'NO060';'7453'
'NO0A3';'6504'
'NO071';'8087'
'NO060';'7329'
'NO0A3';'6447'
'NO020';'2331'
'NO072';'9269'
'NO0A3';'6361'
'NO085';'3063'
'NO020';'2304'
'NO084';'2028'
'NO0A2';'5714'
'NO093';'3297'
'NO071';'8084'
'NO083';'1762'
'NO060';'7235'
'NO0A2';'5331'
'NO0A2';'6790'
'NO071';'8601'
'NO0A3';'6138'
'NO094';'3888'
'NO0A2';'5854'
'NO083';'1509'
'NO071';'8151'
'NO020';'2805'
'NO0A3';'6101'
'NO071';'8591'
'NO071';'8108'
'NO085';'3541'
'NO0A3';'6402'
'NO060';'7422'
'NO060';'7480'
'NO072';'9278'
'NO0A2';'5876'
'NO0A2';'6976'
'NO060';'7399'
'NO083';'1511'
'NO0A2';'5262'
'NO081';'0587'
'NO081';'0353'
'NO060';'7100'
'NO083';'1651'
'NO0A3';'6154'
'NO0A1';'4047'
'NO072';'9409'
'NO060';'6680'
'NO060';'7083'
'NO092';'4619'
'NO094';'3680'
'NO092';'4580'
'NO081';'0458'
'NO084';'2019'
'NO0A1';'4353'
'NO0A3';'6414'
'NO0A2';'5178'
'NO0A2';'5640'
'NO0A2';'5632'
'NO083';'1655'
'NO092';'4724'
'NO020';'2412'
'NO081';'0755'
'NO072';'9018'
'NO092';'4760'
'NO081';'0350'
'NO085';'3034'
'NO072';'9419'
'NO060';'7153'
'NO0A1';'5534'
'NO0A1';'4341'
'NO093';'3150'
'NO072';'9144'
'NO073';'9620'
'NO073';'9802'
'NO083';'1523'
'NO020';'2334'
'NO083';'1769'
'NO093';'3070'
'NO020';'2670'
'NO073';'9782'
'NO0A2';'6863'
'NO084';'1474'
'NO093';'3124'
'NO073';'9511'
'NO085';'3043'
'NO081';'0474'
'NO0A2';'5710'
'NO081';'0154'
'NO084';'2162'
'NO020';'2843'
'NO081';'1178'
'NO0A2';'5760'
'NO092';'4815'
'NO093';'3153'
'NO092';'4869'
'NO0A2';'5093'
'NO072';'9009'
'NO093';'3261'
'NO0A3';'6612'
'NO020';'2448'
'NO0A2';'5261'
'NO073';'9550'
'NO085';'3011'
'NO0A2';'5363'
'NO071';'8402'
'NO060';'7054'
'NO084';'1409'
'NO0A1';'4130'
'NO020';'2384'
'NO0A2';'5917'
'NO092';'4400'
'NO060';'7605'
'NO0A3';'6310'
'NO081';'0571'
'NO093';'3140'
'NO084';'1386'
'NO071';'8150'
'NO083';'1532'
'NO060';'7120'
'NO0A2';'5253'
'NO093';'3239'
'NO081';'0278'
'NO0A3';'6421'
'NO093';'3188'
'NO085';'3538'
'NO083';'1679'
'NO0A3';'6530'
'NO081';'0693'
'NO093';'3212'
'NO0A3';'6628'
'NO081';'1164'
'NO071';'8904'
'NO072';'9403'
'NO094';'3960'
'NO060';'7023'
'NO083';'1712'
'NO081';'1156'
'NO071';'8906'
'NO093';'3186'
'NO060';'7332'
'NO0A2';'5961'
'NO0A3';'6014'
'NO0A2';'5355'
'NO092';'4877'
'NO081';'0589'
'NO081';'0978'
'NO0A2';'6813'
'NO020';'2862'
'NO0A3';'6630'
'NO072';'9147'
'NO0A1';'5532'
'NO060';'7018'
'NO084';'1484'
'NO0A2';'5960'
'NO060';'7711'
'NO084';'1359'
'NO081';'0450'
'NO085';'3340'
'NO081';'0969'
'NO094';'3946'
'NO0A1';'5542'
'NO0A1';'5570'
'NO085';'3042'
'NO0A3';'6516'
'NO081';'0756'
'NO094';'3725'
'NO085';'3015'
'NO081';'0379'
'NO081';'0853'
'NO094';'3691'
'NO020';'2318'
'NO0A2';'5131'
'NO092';'4824'
'NO073';'9519'
'NO081';'0368'
'NO060';'7609'
'NO084';'2740'
'NO0A2';'5031'
'NO0A2';'6723'
'NO094';'3916'
'NO072';'9014'
'NO093';'3241'
'NO0A1';'5523'
'NO020';'2430'
'NO0A3';'6120'
'NO081';'1176'
'NO0A1';'4230'
'NO073';'9771'
'NO081';'0555'
'NO093';'3089'
'NO081';'0279'
'NO020';'2428'
'NO084';'2720'
'NO084';'3472'
'NO071';'8534'
'NO084';'2020'
'NO020';'2211'
'NO071';'8206'
'NO093';'3217'
'NO0A3';'6364'
'NO092';'4635'
'NO071';'8407'
'NO081';'1252'
'NO083';'1653'
'NO094';'3677'
'NO020';'2646'
'NO0A2';'5173'
'NO083';'1526'
'NO071';'8012'
'NO092';'4900'
'NO020';'2850'
'NO094';'3941'
'NO081';'0495'
'NO083';'1680'
'NO072';'9334'
'NO020';'2420'
'NO071';'8622'
'NO084';'2150'
'NO0A2';'5239'
'NO081';'0985'
'NO0A1';'4309'
'NO072';'9013'
'NO092';'4515'
'NO093';'3280'
'NO083';'1746'
'NO071';'8800'
'NO081';'0372'
'NO081';'0891'
'NO084';'1337'
'NO0A2';'5347'
'NO081';'0860'
'NO081';'0152'
'NO085';'3630'
'NO020';'2337'
'NO094';'3660'
'NO072';'9050'
'NO020';'2815'
'NO0A3';'6040'
'NO020';'2382'
'NO083';'1537'
'NO060';'7070'
'NO081';'0452'
'NO084';'1479'
'NO081';'0758'
'NO0A3';'6419'
'NO085';'3513'
'NO0A1';'4343'
'NO0A3';'6315'
'NO092';'4526'
'NO072';'9298'
'NO060';'7551'
'NO020';'2633'
'NO0A2';'5702'
'NO060';'7403'
'NO0A2';'6804'
'NO0A2';'5203'
'NO060';'7169'
'NO085';'3371'
'NO071';'8981'
'NO020';'2215'
'NO071';'8088'
'NO085';'3357'
'NO020';'2426'
'NO084';'1377'
'NO0A2';'5852'
'NO0A2';'6849'
'NO084';'2717'
'NO083';'1520'
'NO092';'4857'
'NO060';'7474'
'NO0A3';'6397'
'NO060';'7801'
'NO081';'1201'
'NO072';'9271'
'NO020';'2441'
'NO0A2';'5751'
'NO060';'7448'
'NO0A3';'6528'
'NO0A3';'6436'
'NO020';'2810'
'NO073';'9846'
'NO093';'3196'
'NO083';'1704'
'NO020';'2811'
'NO084';'1422'
'NO084';'2035'
'NO0A3';'6461'
'NO093';'3156'
'NO085';'3602'
'NO084';'1924'
'NO083';'1581'
'NO0A2';'5819'
'NO0A2';'5202'
'NO093';'3281'
'NO060';'7417'
'NO0A2';'5864'
'NO0A3';'6139'
'NO060';'7691'
'NO084';'1375'
'NO060';'7429'
'NO060';'7211'
'NO0A2';'5861'
'NO071';'8851'
'NO0A2';'5888'
'NO020';'2806'
'NO060';'7442'
'NO0A3';'6038'
'NO085';'3412'
'NO0A2';'5903'
'NO060';'7979'
'NO073';'9502'
'NO084';'1429'
'NO0A2';'5893'
'NO084';'1335'
'NO084';'1328'
'NO085';'3627'
'NO094';'3794'
'NO085';'3056'
'NO0A2';'5904'
'NO0A2';'5602'
'NO072';'9148'
'NO0A3';'6688'
'NO020';'2381'
'NO020';'2867'
'NO0A3';'6166'
'NO060';'7703'
'NO060';'7405'
'NO060';'7439'
'NO020';'2648'
'NO0A3';'6627'
'NO092';'4508'
'NO072';'9145'
'NO020';'2341'
'NO084';'2012'
'NO094';'3798'
'NO060';'7751'
'NO072';'9257'
'NO073';'9691'
'NO083';'1506'
'NO092';'4691'
'NO0A2';'5868'
'NO072';'9268'
'NO094';'3787'
'NO060';'7490'
'NO092';'4694'
'NO0A2';'5873'
'NO071';'8801'
'NO0A1';'4380'
'NO060';'7039'
'NO094';'3681'
'NO0A2';'5068'
'NO0A1';'4056'
'NO0A1';'4023'
'NO085';'3405'
'NO020';'2427'
'NO081';'0483'
'NO093';'3234'
'NO060';'7660'
'NO073';'9600'
'NO092';'4534'
'NO085';'3512'
'NO081';'0172'
'NO020';'2682'
'NO081';'0590'
'NO0A3';'6444'
'NO094';'3746'
'NO094';'3913'
'NO083';'1814'
'NO081';'0490'
'NO071';'8300'
'NO081';'1177'
'NO0A2';'5729'
'NO081';'1084'
'NO0A1';'4317'
'NO0A1';'4154'
'NO081';'0369'
'NO081';'0577'
'NO071';'8006'
'NO060';'7622'
'NO085';'3404'
